,Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES,set
315,4-hexylresorcinol,-2.59,-3.493,c1(O)cc(O)ccc1CCCCCC,train
316,4-hydroxypyridine,1.02,-1.655,Oc1ccncc1,test
317,4-Isopropyltoluene,-3.77,-3.617,CC(C)c1ccc(C)cc1,train
318,4-methoxypteridine,-1.11,-1.589,COc1ncnc2nccnc12 ,validate
319,4-Methyl-2-pentanol,-0.8,-1.308,CC(C)CC(C)O,train
320,4-Methyl-2-pentanone,-0.74,-1.184,CC(C)CC(=O)C,train
321,4-Methylbiphenyl,-4.62,-4.424,Cc1ccc(cc1)c2ccccc2,train
322,4-Methylpentanol,-1.14,-1.381,CC(C)CCCO,train
323,4-methylpteridine,-0.466,-1.24,Cc1ncnc2nccnc12,train
324,4-Nitroacetanilide,-2.692,-2.219,CC(=O)Nc1ccc(cc1)N(=O)=O,train
325,4-Pentene-1-ol,-0.15,-0.791,OCCCC=C,train
326,5-(3-Methyl-2-butenyl)-5-ethylbarbital,-2.253,-2.126,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,train
327,5-(3-Methyl-2-butenyl)-5-isoPrbarbital,-2.593,-2.465,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,train
328,"5,5-Diallylbarbital",-2.077,-1.471,O=C1NC(=O)NC(=O)C1(CC=C)CC=C,train
329,"5,5-Diisopropylbarbital",-2.766,-1.942,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,train
330,"5,5-Dimethylbarbituric acid",-1.742,-0.556,O=C1NC(=O)NC(=O)C1(C)C,train
331,"5,6,7,8-tetrahydro-2-naphthol",-1.99,-3.086,Oc2ccc1CCCCc1c2 ,validate
332,"5,6-Dimethylchrysene",-7.01,-6.265,Cc1c(C)c2c3ccccc3ccc2c4ccccc14,train
333,5-Allyl-5-ethylbarbital,-1.614,-1.368,O=C1NC(=O)NC(=O)C1(CC)CC=C,test
334,5-Allyl-5-isopropylbarbital,-1.708,-1.706,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,test
335,5-Allyl-5-methylbarbital,-1.16,-1.013,O=C1NC(=O)NC(=O)C1(C)CC=C,train
336,5-Allyl-5-phenylbarbital,-2.369,-2.36,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,test
337,5-Ethyl-5-(3-methylbutyl)barbital,-2.658,-2.312,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,train
338,5-Ethyl-5-isopropylbarbituric acid,-2.148,-1.603,O=C1NC(=O)NC(=O)C1(CC)C(C)C,train
339,5-Ethyl-5-phenylbarbital,-2.322,-2.272,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,train
340,5-fluorouracil,-1.077,-0.792,Fc1c[nH]c(=O)[nH]c1=O ,test
341,5-hydroxyquinoline,-2.54,-2.725,Oc1cccc2ncccc12 ,test
342,5-Methyl-5-ethylbarbituric acid,-1.228,-0.911,O=C1NC(=O)NC(=O)C1(C)CC,train
343,5-Methylchrysene,-6.59,-5.931,c1cccc2c3c(C)cc4ccccc4c3ccc12,train
344,5-methylcytosine,-1.458,-0.257,Nc1c(C)c[nH]c(=O)n1 ,train
345,5-Nonanone,-2.58,-2.329,CCCCC(=O)CCCC,test
346,6-aminochrysene,-6.2,-4.849,Nc3cc2c1ccccc1ccc2c4ccccc34 ,train
347,6-hydroxyquinoline,-2.16,-2.725,Oc2ccc1ncccc1c2 ,train
348,6-methoxypteridine,-1.139,-1.589,COc2cnc1ncncc1n2,train
349,6-Methylchrysene,-6.57,-5.931,Cc1cc2c3ccccc3ccc2c4ccccc14,train
350,"7,12-Dimethylbenz(a)anthracene",-7.02,-6.297,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,test
351,7-methoxypteridine,-0.91,-1.589,COc2cnc1cncnc1n2,test
352,7-methylpteridine,-0.854,-1.24,Cc2cnc1cncnc1n2,train
353,8-quinolinol,-2.42,-2.725,Oc1cccc2cccnc12 ,train
354,"9,10-Dimethylanthracene",-6.57,-5.228,Cc1c2ccccc2c(C)c3ccccc13,train
355,9-anthrol,-4.73,-4.148,c3ccc2c(O)c1ccccc1cc2c3 ,train
356,9-Methylanthracene,-5.89,-4.87,Cc1c2ccccc2cc3ccccc13,train
357,Abate,-6.237,-6.678,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,validate
358,Acenapthene,-4.63,-3.792,C1Cc2cccc3cccc1c23,train
359,Acenapthylene,-3.96,-3.682,C1=Cc2cccc3cccc1c23,train
360,Acephate,0.54,-0.416,COP(=O)(NC(C)=O)SC ,test
361,Acetamide,1.58,0.494,CC(=O)N,train
362,Acetanilide,-1.33,-1.857,CC(=O)Nc1ccccc1,train
363,acetazolamide,-2.36,-0.793,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,validate
364,Acetonitrile,0.26,0.152,CC#N,validate
365,Acetophenone,-1.28,-2.078,CC(=O)c1ccccc1,train
366,acetyl sulfisoxazole,-3.59,-2.024,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,validate
367,Acridine,-3.67,-3.846,c3ccc2nc1ccccc1cc2c3,validate
368,Acrolein,0.57,-0.184,C=CC=O,train
369,Acrylonitrile,0.15,-0.354,C=CC#N,train
370,adenine,-2.12,-1.255,Nc1ncnc2nc[nH]c12 ,test
371,adrenosterone,-3.48,-2.99,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,train
372,alachlor,-3.26,-3.319,CCc1cccc(CC)c1N(COC)C(=O)CCl ,test
373,aldosterone,-3.85,-3.066,CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,validate
374,Aldrin,-6.307,-5.511,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,train
375,allantoin,-1.6,0.652,NC(=O)NC1NC(=O)NC1=O ,train
376,allicin,-0.83,-2.045,C=CCS(=O)SCC=C,test
377,allopurinol,-2.266,-0.84,O=c1[nH]cnc2[nH]ncc12 ,train
378,alloxan,-1.25,0.436,O=C1NC(=O)C(=O)C(=O)N1 ,test
379,alloxantin,-1.99,0.919,C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),train
380,Altretamine,-3.364,-2.492,CN(C)c1nc(nc(n1)N(C)C)N(C)C,validate
381,Ametryn,-3.04,-3.43,CCNc1nc(NC(C)C)nc(SC)n1,train
382,Amigdalin,-0.77,-0.974,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,train
383,Aminocarb,-2.36,-2.677,CNC(=O)Oc1ccc(N(C)C)c(C)c1,test
384,aminopyrine,-0.364,-2.129,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,train
385,aminothiazole,-0.36,-1.226,Nc1nccs1 ,train
386,Amitraz,-5.47,-5.533,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,train
387,Amitrole,0.522,-0.674,Nc1nc[nH]n1,train
388,Amobarbital,-2.468,-2.312,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,test
389,ampyrone,-0.624,-1.192,Cc2c(N)c(=O)n(c1ccccc1)n2C,train
390,Ancymidol,-2.596,-2.181,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,train
391,Androstenedione,-3.69,-3.393,CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O,train
392,Androsterone,-4.402,-3.882,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,train
393,Anethole,-3.13,-3.254,COc1ccc(C=CC)cc1,train
394,Aniline ,-0.41,-1.632,Nc1ccccc1,test
395,Anilofos,-4.432,-5.106,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,train
396,Anisole,-1.85,-2.368,COc1ccccc1,train
397,Anthracene,-6.35,-4.518,c1ccc2cc3ccccc3cc2c1,train
398,Anthraquinone,-5.19,-3.34,O=C1c2ccccc2C(=O)c3ccccc13,train
399,Antipyrene,0.715,-1.733,Cc1cc(=O)n(c2ccccc2)n1C,train
400,Apazone,-3.538,-2.9,CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C ,train
401,"Atovaquone(0,430mg/ml) - neutral",-5.931,-6.269,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,train
402,Atratone,-2.084,-3.185,CCNc1nc(NC(C)C)nc(OC)n1,validate
403,Atrazine,-3.85,-3.069,CCNc1nc(Cl)nc(NC(C)C)n1,train
404,Azintamide,-1.716,-2.231,CCN(CC)C(=O)CSc1ccc(Cl)nn1,train
405,Azobenzene,-4.45,-4.034,N(=Nc1ccccc1)c2ccccc2,validate
406,Azodrin,0.651,-0.949,CNC(=O)C=C(C)OP(=O)(OC)OC,train
407,Barban,-4.37,-4.16,ClCC#CCOC(=O)Nc1cccc(Cl)c1,train
408,Barbital,-2.4,-1.265,O=C1NC(=O)NC(=O)C1(CC)CC,train
409,Bendroflumethiazide,-3.59,-3.741,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,train
410,Benfluralin,-5.53,-5.205,CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,train
411,Benfuracarb,-4.71,-5.133,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,validate
412,benodanil,-4.21,-4.245,c1c(NC(=O)c2ccccc2(I))cccc1,train
413,Benomyl,-4.883,-2.902,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,train
414,Bensulide,-4.2,-4.99,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,test
415,Benzaldehyde,-1.19,-1.999,O=Cc1ccccc1,test
416,Benzamide,-0.96,-1.501,NC(=O)c1ccccc1,train
417,Benzene ,-1.64,-2.418,c1ccccc1,train
418,benzhydrol,-2.55,-3.033,c1ccccc1C(O)c2ccccc2,test
419,Benznidazole,-2.81,-2.321,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,train
420,Benzo(a)fluorene,-6.68,-5.189,C1c2ccccc2c3ccc4ccccc4c13,train
421,Benzo(a)pyrene,-8.699,-6.007,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,train
422,Benzo(b)fluoranthene,-8.23,-6.007,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,train
423,Benzo(b)fluorene,-8.04,-5.189,C1c2ccccc2c3cc4ccccc4cc13,test
424,Benzo(e)pyrene,-7.8,-6.007,c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,train
425,Benzo(j)fluoranthene,-8.0,-6.007,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,validate
426,Benzo(k)fluoranthene,-8.49,-6.007,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,train
427,Benzo[ghi]perylene,-9.018,-6.446,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,train
428,Benzocaine,-2.616,-2.383,CCOC(=O)c1ccc(N)cc1,train
429,benzoin,-2.85,-3.148,OC(C(=O)c1ccccc1)c2ccccc2,train
430,Benzonitrile,-1.0,-2.03,N#Cc1ccccc1,train
431,Benzophenone,-3.12,-3.612,O=C(c1ccccc1)c2ccccc2,train
432,benzothiazole,-1.5,-2.733,c2ccc1scnc1c2 ,train
433,Benzotriazole,-0.78,-2.21,c2ccc1[nH]nnc1c2,train
434,Benzoxazole,-1.16,-2.214,c2ccc1ocnc1c2,train
435,Benzylchloride,-2.39,-2.887,ClCc1ccccc1,train
436,Benzyltrifluoride,-2.51,-3.099,FC(F)(F)c1ccccc1,train
437,benzylurea,-0.95,-1.509,NC(=O)NCc1ccccc1 ,train
438,Betamethasone-17-valerate,-4.71,-5.062,CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,train
439,Bibenzyl ,-4.62,-4.301,C(Cc1ccccc1)c2ccccc2,train
440,Biphenyl,-4.345,-4.079,c1ccc(cc1)c2ccccc2,train
441,biquinoline,-5.4,-4.903,c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 ,train
442,borneol,-2.32,-2.423,CC1(C)C2CCC1(C)C(O)C2,train
443,Bromacil,-2.523,-3.419,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,train
444,bromadiolone,-4.445,-7.877,OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,test
445,Bromobenzene,-2.55,-3.345,Brc1ccccc1,validate
446,Bromochloromethane,-0.89,-1.519,ClCBr,test
447,Bromodichloromethane,-1.54,-2.176,BrC(Cl)Cl,train
448,Bromoethane,-1.09,-1.529,CCBr,train
449,Bromomethane,-0.79,-1.109,CBr,validate
450,Bromophos,-6.09,-5.604,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,train
451,bromopropylate,-4.93,-5.833,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 ,train
452,bromoxynil,-3.33,-3.793,Oc1c(Br)cc(C#N)cc1Br ,train
453,brompyrazone,-3.127,-3.005,c1ccccc1n2ncc(N)c(Br)c2(=O),train
454,bupirimate,-4.16,-3.493,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,train
455,Butabarbital,-2.39,-1.958,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,validate
456,butacarb,-4.24,-4.642,c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,train
457,butachlor,-4.19,-4.347,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,train
458,butallylonal,-2.647,-2.766,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O ,train
459,Butamben,-3.082,-3.039,CCCCOC(=O)c1ccc(N)cc1,train
460,Butan-2-ol,0.47,-0.616,CCC(C)O,train
461,Butane,-2.57,-1.907,CCCC,train
462,Butanethiol ,-2.18,-1.676,CCCCS,test
463,Butethal,-1.661,-1.974,CCCCC1(CC)C(=O)NC(=O)NC1=O,train
464,Buthidazole,-1.877,-2.398,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,train
465,Buturon,-3.9,-3.199,CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,train
466,Butyl acetate,-1.37,-1.111,CCCCOC=O,train
467,Butylate,-3.68,-3.453,CCSC(=O)N(CC(C)C)CC(C)C,train
468,Butylbenzene,-4.06,-3.585,CCCCc1ccccc1,train
469,Butyraldehyde,-0.01,-0.749,CCCC=O,train
470,Caffeine,-0.876,-1.498,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,test
471,Camphor,-1.96,-2.158,CC1(C)C2CCC1(C)C(=O)C2,train
472,Caproaldehyde,-1.3,-1.457,CCCCCC=O,train
473,captafol,-5.4,-4.365,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,train
474,Carbanilide,-3.15,-3.611,O=C(Nc1ccccc1)Nc2ccccc2,train
475,Carbaryl,-3.224,-3.087,CNC(=O)Oc1cccc2ccccc12,train
476,Carbazole,-5.27,-3.836,c1ccc2c(c1)[nH]c3ccccc32,train
477,Carbetamide,-1.83,-2.29,c1c(NC(=O)OC(C)C(=O)NCC)cccc1,train
478,Carbofuran,-2.8,-3.05,CNC(=O)Oc1cccc2CC(C)(C)Oc12,train
479,Carbophenthion,-5.736,-5.828,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,train
480,Carboxin,-3.14,-2.927,CC1=C(SCCO1)C(=O)Nc2ccccc2,train
481,Carbromal,-2.68,-2.198,CCC(Br)(CC)C(=O)NC(N)=O,train
482,Carvacrol,-2.08,-3.224,c1(O)c(C)ccc(C(C)C)c1,train
483,Carvone,-2.06,-2.042,CC(=C)C1CC=C(C)C(=O)C1,train
484,chloralose,-1.84,-1.887,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,train
485,Chloramphenicol,-2.111,-2.613,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,validate
486,Chlorazine,-4.411,-3.663,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,test
487,Chlorbromuron,-3.924,-3.938,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,train
488,Chlorbufam,-2.617,-3.629,CC(OC(=O)Nc1cccc(Cl)c1)C#C,train
489,Chlordane,-6.86,-6.039,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,train
490,Chlordene,-5.64,-5.152,ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl ,train
491,chlordimeform,-2.86,-3.164,CN(C)C=Nc1ccc(Cl)cc1C,test
492,Chlorimuron-ethyl (ph 7),-4.576,-3.719,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,train
493,chloroacetamide,-0.02,-0.106,NC(=O)CCl ,train
494,Chloroacetonitrile,-0.092,-0.448,ClCC#N,validate
495,Chlorobenzene,-2.38,-2.975,Clc1ccccc1,train
496,Chlorodibromethane,-1.9,-2.54,ClC(Br)Br,train
497,Chloroethane,-1.06,-1.165,ClCC,train
498,Chloroethylene,-1.75,-1.188,ClC=C,train
499,Chloropham,-3.38,-3.544,CC(C)OC(=O)Nc1cccc(Cl)c1,train
500,Chloropicrin,-2.0,-1.866,ClC(Cl)(Cl)N(=O)=O,train
501,chloropropylate,-4.53,-5.093,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,train
502,Chlorothalonil,-5.64,-3.995,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,train
503,chlorothiazide,-3.05,-1.752,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl ,train
504,Chlorotoluron,-3.46,-3.048,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,train
505,Chloroxuron,-4.89,-4.477,CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,train
506,chlorpyrifos,-5.67,-4.972,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,validate
507,chlorquinox,-5.43,-4.438,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,train
508,Chlorthalidone,-3.451,-2.564,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,train
509,Chlortoluron,-3.483,-3.048,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,test
510,Chlorzoxazone,-2.831,-2.679,Clc2ccc1oc(=O)[nH]c1c2,test
511,Cholanthrene,-7.85,-5.942,C1Cc2c3c1cccc3cc4c2ccc5ccccc54,test
512,Chrysene,-8.057,-5.568,c1ccc2c(c1)ccc3c4ccccc4ccc23,train
513,"cis 1,2-Dichloroethylene",-1.3,-1.561,Cl\C=C/Cl,train
514,"cis-1,2-Dimethylcyclohexane",-4.3,-3.305,C/C1CCCCC1\C,train
515,cis-2-Pentene,-2.54,-2.076,CC/C=C\C,test
516,citral,-2.06,-2.579,CC(C)=CCCC(C)=CC(=O),train
517,Clomazone,-2.338,-3.077,CC1(C)CON(Cc2ccccc2Cl)C1=O,test
518,Clonazepam,-3.499,-3.707,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,train
519,Coronene,-9.332,-6.885,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,train
520,Corticosterone,-3.24,-3.454,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,train
521,Cortisone,-3.11,-2.893,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,train
522,cortisone acetate,-4.21,-3.426,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,train
523,Coumachlor,-5.839,-4.554,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,train
524,Coumaphos,-5.382,-5.04,CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,train
525,Coumatetralyl,-2.84,-5.194,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,train
526,Cyanazine,-3.15,-2.49,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,test
527,cycloate,-3.4,-3.35,CCSC(=O)N(CC)C1CCCCC1 ,test
528,cyclobarbital,-2.17,-2.421,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,train
529,Cyclobutyl-5-spirobarbituric acid,-1.655,-0.527,O=C2NC(=O)C1(CCC1)C(=O)N2,train
530,Cycloheptane,-3.51,-2.916,C1CCCCCC1,train
531,Cycloheptanol,-0.88,-1.7,OC1CCCCCC1,train
532,Cycloheptene,-3.18,-2.599,C1CCC=CCC1,train
533,Cycloheptyl-5-spirobarbituric acid,-3.168,-1.844,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 ,train
534,Cyclohexane,-3.1,-2.477,C1CCCCC1,test
535,Cyclohexanol ,-0.44,-1.261,OC1CCCCC1,train
536,Cyclohexanone,-0.6,-0.996,O=C1CCCCC1,train
537,Cyclohexene,-2.59,-2.16,C1CCC=CC1,train
538,cycloheximide,-1.13,-1.532,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,train
539,Cyclohexyl-5-spirobarbituric acid,-3.06,-1.405,O=C2NC(=O)C1(CCCCC1)C(=O)N2,train
540,Cyclooctane,-4.15,-3.355,C1CCCCCCC1,train
541,Cyclooctanol,-1.29,-2.14,OC1CCCCCCC1,train
542,Cyclooctyl-5-spirobarbituric acid,-2.982,-2.284,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,validate
543,Cyclopentane ,-2.64,-2.038,C1CCCC1,train
544,Cyclopentene ,-2.1,-1.72,C1CC=CC1,test
545,Cyclopentyl-5-spirobarbituric acid,-2.349,-0.966,O=C2NC(=O)C1(CCCC1)C(=O)N2,train
546,Cyclopropyl-5-spirobarbituric acid,-1.886,-0.088,O=C2NC(=O)C1(CC1)C(=O)N2 ,train
547,Cycluron,-2.218,-2.629,CN(C)C(=O)NC1CCCCCCC1,train
548,Cyfluthrin,-7.337,-6.84,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,train
549,Cyhalothrin,-8.176,-6.905,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,train
550,Cypermethrin,-8.017,-6.775,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,test
551,cytosine,-1.155,0.051,Nc1cc[nH]c(=O)n1 ,test
552,Danazol,-5.507,-4.557,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,train
553,Dapsone,-3.094,-2.464,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,validate
554,DDD,-7.2,-6.008,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,train
555,DDE,-6.9,-6.553,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,test
556,DDT,-7.15,-6.638,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,train
557,Decalin,-5.19,-3.715,C1CCC2CCCCC2C1,train
558,DEF,-5.14,-4.074,CCCCSP(=O)(SCCCC)SCCCC,train
559,Deltamethrin,-8.402,-7.44,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,train
560,Deoxycorticosterone,-3.45,-3.939,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,train
561,deoxycorticosterone acetate,-4.63,-4.472,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,test
562,Desmedipham,-4.632,-4.182,CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 ,train
563,Dexamethasone,-3.59,-3.4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,train
564,dexamethasone acetate,-4.9,-3.933,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O ,validate
565,D-fenchone,-1.85,-2.158,CC2(C)C1CCC(C)(C1)C2=O,train
566,Di(2-ethylhexyl)-phthalate,-6.96,-7.117,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,train
567,Dialifor,-6.34,-5.026,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,train
568,Dialifos,-6.34,-5.026,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,test
569,Diallate,-4.286,-3.827,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,test
570,Diazepam,-3.754,-4.05,CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,train
571,Diazinon,-3.64,-3.989,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,train
572,Dibenzofurane,-4.6,-4.201,o1c2ccccc2c3ccccc13,train
573,Dibenzothiophene,-4.38,-4.597,c1ccc2c(c1)sc3ccccc23,test
574,Dibromomethane,-1.17,-1.883,BrCBr,validate
575,Dibutyl ether ,-1.85,-2.135,CCCCOCCCC,test
576,dibutyl sebacate,-3.896,-4.726,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,train
577,dibutylphthalate,-4.4,-4.378,CCCCOC(=O)c1ccccc1C(=O)OCCCC ,train
578,Dicapthon,-4.31,-4.188,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,test
579,Dichloromethane,-0.63,-1.156,ClCCl,train
580,Dichlorophen,-3.953,-4.924,Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,train
581,Dicofol,-5.666,-6.268,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,train
582,Dieldrin,-6.29,-4.533,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,test
583,Dienestrol,-4.95,-4.775,CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,test
584,Dienochlor,-7.278,-7.848,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,train
585,Diethyl ether ,-0.09,-0.718,CCOCC,train
586,Diethyl phthalate ,-2.35,-3.016,CCOC(=O)c1ccccc1C(=O)OCC,validate
587,Diethyl sulfide,-1.34,-1.598,CCSCC,train
588,Diethyldisulfide,-2.42,-2.364,CCSSCC,test
589,diethylstilbestrol,-4.07,-5.074,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,validate
590,Difenoxuron,-4.16,-3.928,COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,test
591,difluron,-6.02,-4.692,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,train
592,Digitoxin,-5.293,-6.114,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,validate
593,"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",-4.081,-5.312,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,train
